,Tech,Inputs,Inputs.1,Inputs.2,Inputs.3
0,Dyson Sphere Program,,,,
1,Electromagnetism,10xMagnetic Coil,10xMagnetic Coil,10xMagnetic Coil,10xMagnetic Coil
2,Basic Logistics System,10xCircuit Board,10xCircuit Board,10xGear,10xGear
3,Automatic Metallurgy,10xMagnetic Coil,10xMagnetic Coil,10xCircuit Board,10xCircuit Board
4,Electromagnetic Matrix,10xMagnetic Coil,10xMagnetic Coil,10xCircuit Board,10xCircuit Board
5,Basic Assembling Processes,10xCircuit Board,10xCircuit Board,10xGear,10xGear
6,Fluid Storage Encapsulation,50xElectromagnetic Matrix,50xElectromagnetic Matrix,50xElectromagnetic Matrix,50xElectromagnetic Matrix
7,High-Efficiency Plasma Control,50xElectromagnetic Matrix,50xElectromagnetic Matrix,50xElectromagnetic Matrix,50xElectromagnetic Matrix
8,Electromagnetic Drive,50xElectromagnetic Matrix,50xElectromagnetic Matrix,50xElectromagnetic Matrix,50xElectromagnetic Matrix
9,Steel Smelting,120xElectromagnetic Matrix,120xElectromagnetic Matrix,120xElectromagnetic Matrix,120xElectromagnetic Matrix
10,Smelting Purification,100xElectromagnetic Matrix,100xElectromagnetic Matrix,100xElectromagnetic Matrix,100xElectromagnetic Matrix
11,Semiconductor Material,200xElectromagnetic Matrix,200xElectromagnetic Matrix,200xElectromagnetic Matrix,200xElectromagnetic Matrix
12,Thermal Power,30xElectromagnetic Matrix,30xElectromagnetic Matrix,30xElectromagnetic Matrix,30xElectromagnetic Matrix
13,Plasma Extract Refining,100xElectromagnetic Matrix,100xElectromagnetic Matrix,100xElectromagnetic Matrix,100xElectromagnetic Matrix
14,Improved Logistics System,100xElectromagnetic Matrix,100xElectromagnetic Matrix,100xElectromagnetic Matrix,100xElectromagnetic Matrix
15,Environment Modification,400xElectromagnetic Matrix,400xElectromagnetic Matrix,400xElectromagnetic Matrix,400xElectromagnetic Matrix
16,Crystal Smelting,500xElectromagnetic Matrix,500xElectromagnetic Matrix,500xEnergy Matrix,500xEnergy Matrix
17,Solar Collection,200xElectromagnetic Matrix,200xElectromagnetic Matrix,200xElectromagnetic Matrix,200xElectromagnetic Matrix
18,Proliferator Mk.I,200xElectromagnetic Matrix,200xElectromagnetic Matrix,200xElectromagnetic Matrix,200xElectromagnetic Matrix
